period,rate,rate_err
3.666442864512010402e+00,4.127221488462831309e-03,2.382852437369223711e-03
9.417506376225446729e+00,4.952351360667546845e-03,2.859241391203017676e-03
2.418950182060213194e+01,6.922830631714446854e-03,3.996898128774522760e-03
6.213237081591825728e+01,1.163501367496403913e-02,4.749974442327737495e-03
1.595911950496991949e+02,2.619884806359145876e-02,8.284803195364086326e-03
4.099207740333951051e+02,4.114659166372086618e-02,9.698344662710297465e-03
1.052909221788890591e+03,5.641763963444682006e-02,1.176389107085987727e-02
2.704468520636065477e+03,4.529061298031726579e-02,1.067509985415927148e-02
6.946610237380866238e+03,1.439047812959463185e-02,5.439089482603044583e-03
