,C,beta,a0,gamma
0,103.67422926634005,-0.4263543958013667,1.3661194378853851,1.4746624854032706
1,98.62925385520762,-0.3831350023747041,1.2925275014132906,1.3724190262456797
2,98.62925385520762,-0.3831350023747041,1.2925275014132906,1.3724190262456797
3,97.580231428149,-0.3697154189528769,1.2767135738454085,1.3563659616392465
4,97.580231428149,-0.3697154189528769,1.2767135738454085,1.3563659616392465
5,100.8603098859561,-0.3981743500273397,1.305180027167906,1.4092273756568607
6,100.8603098859561,-0.3981743500273397,1.305180027167906,1.4092273756568607
7,99.40532132440246,-0.37483960624996127,1.306724706655524,1.4561777721671092
8,116.50039625775418,-0.47764013671750555,1.612205513610517,1.2772986808080462
9,110.2964922886213,-0.4340818818509429,1.651065363716699,1.087920459966128
10,110.2964922886213,-0.4340818818509429,1.651065363716699,1.087920459966128
11,96.8879983436726,-0.32382369910459896,1.3607283862190303,1.29071049139184
12,97.17816610353117,-0.3257748642667211,1.3836612202715401,1.2672455800493592
13,97.68068701281774,-0.37064897321724555,1.4020377423509158,1.3626978350503254
14,97.68068701281774,-0.37064897321724555,1.4020377423509158,1.3626978350503254
15,88.24237883392152,-0.36724817328228915,0.9687697697722926,1.481841052269524
16,93.34176514292228,-0.42893313674851674,1.0305777293861857,1.5174854058120442
17,93.44152081980772,-0.4058676433929491,1.0282807158562763,1.5250532412731357
18,109.10261731388165,-0.3931905581675345,1.2434482067070494,1.3972261062832527
19,112.83856084430332,-0.4281333623918357,1.2535763543039529,1.4314920376576448
20,111.18002083601266,-0.4187277648924859,1.1540354804333033,1.4405468124357153
21,122.98617428398728,-0.4848567635192383,1.217218153165739,1.602460201893209
22,108.19316675620469,-0.3800605098595647,1.164513854820583,1.4885555205384944
23,108.19316675620469,-0.3800605098595647,1.164513854820583,1.4885555205384944
24,135.87778053194808,-0.5642720929103581,1.464301108649473,1.651636671348197
25,135.87778053194808,-0.5642720929103581,1.464301108649473,1.651636671348197
26,136.69439859994765,-0.5608568576927039,1.5099774950880984,1.5982598604514697
27,136.69439859994765,-0.5608568576927039,1.5099774950880984,1.5982598604514697
28,136.69439859994765,-0.5608568576927039,1.5099774950880984,1.5982598604514697
29,136.69439859994765,-0.5608568576927039,1.5099774950880984,1.5982598604514697
30,136.69439859994765,-0.5608568576927039,1.5099774950880984,1.5982598604514697
31,128.3218971669871,-0.5453352841809603,1.401020201704728,1.6230102058638833
32,128.3218971669871,-0.5453352841809603,1.401020201704728,1.6230102058638833
33,135.0324792477294,-0.5864337792615756,1.5039659037718744,1.5921304549027864
34,126.55698083930506,-0.5023265996699775,1.4416332242071561,1.505875660175769
35,126.55698083930506,-0.5023265996699775,1.4416332242071561,1.505875660175769
36,126.55698083930506,-0.5023265996699775,1.4416332242071561,1.505875660175769
37,93.66578157453235,-0.3565668050282661,1.357216453252273,1.3715857319834766
38,86.9277619153552,-0.3457313071265554,1.039447968401869,1.4391191976543263
39,86.9277619153552,-0.3457313071265554,1.039447968401869,1.4391191976543263
40,104.26514312001487,-0.3618209241358519,1.2319112322361665,1.461336736464108
41,104.26514312001487,-0.3618209241358519,1.2319112322361665,1.461336736464108
42,104.26514312001487,-0.3618209241358519,1.2319112322361665,1.461336736464108
43,118.36133067132104,-0.47779314242594106,1.433048645300477,1.4403455353556673
44,125.7502518512049,-0.5406978315773232,1.5392267138709093,1.4164113974143955
45,125.64028792789682,-0.5401207566496333,1.537886868897622,1.4162821813880273
46,125.64028792789682,-0.5401207566496333,1.537886868897622,1.4162821813880273
47,125.64028792789682,-0.5401207566496333,1.537886868897622,1.4162821813880273
48,125.97275689059245,-0.5173883833854734,1.546342425466761,1.4244677990002552
49,123.88308173757049,-0.4849833362037247,1.6042615189416232,1.3918147189846852
50,166.51322982046628,-0.6997304529250794,2.3115511804967763,1.300868289096266
51,166.51322982046628,-0.6997304529250794,2.3115511804967763,1.300868289096266
52,159.33242625815947,-0.6240316309024012,2.672965432679579,1.1940628587094024
53,151.7825768708951,-0.6167949905521903,2.5357802236077958,1.1945356778469582
54,148.29422852260475,-0.5998125060622215,2.4433197158874935,1.2224611796433378
55,148.29422852260475,-0.5998125060622215,2.4433197158874935,1.2224611796433378
56,148.29422852260475,-0.5998125060622215,2.4433197158874935,1.2224611796433378
57,145.14812762848146,-0.5788423593088856,2.377879012128041,1.2326592830499852
58,145.14812762848146,-0.5788423593088856,2.377879012128041,1.2326592830499852
59,133.43973497085366,-0.46528217412041867,2.6373002293272716,1.0619095730230055
60,138.14551183814194,-0.47594253310375945,2.665731805595592,1.0744762271193413
61,138.14551183814194,-0.47594253310375945,2.665731805595592,1.0744762271193413
62,167.29921977898627,-0.5910697005568629,2.5959581278262416,1.2713805666977853
63,167.29921977898627,-0.5910697005568629,2.5959581278262416,1.2713805666977853
64,167.29921977898627,-0.5910697005568629,2.5959581278262416,1.2713805666977853
65,167.29921977898627,-0.5910697005568629,2.5959581278262416,1.2713805666977853
66,167.29921977898627,-0.5910697005568629,2.5959581278262416,1.2713805666977853
67,169.35276730931182,-0.6276179247982643,2.4298003004358675,1.232687001668833
68,169.35276730931182,-0.6276179247982643,2.4298003004358675,1.232687001668833
69,158.03134701311131,-0.5126917396121871,2.1387353859369895,1.2343493127782414
70,158.03134701311131,-0.5126917396121871,2.1387353859369895,1.2343493127782414
71,169.58201486766234,-0.5513526834608604,2.1863371047574476,1.3190092310901813
72,146.3586906619584,-0.515719303907384,1.8935351757031056,1.315254553629065
73,146.3586906619584,-0.515719303907384,1.8935351757031056,1.315254553629065
74,164.73965394130698,-0.636627118934322,2.1866804111089344,1.2644779184136985
75,164.73965394130698,-0.636627118934322,2.1866804111089344,1.2644779184136985
76,164.73965394130698,-0.636627118934322,2.1866804111089344,1.2644779184136985
77,164.73965394130698,-0.636627118934322,2.1866804111089344,1.2644779184136985
78,164.73965394130698,-0.636627118934322,2.1866804111089344,1.2644779184136985
79,164.73965394130698,-0.636627118934322,2.1866804111089344,1.2644779184136985
80,144.441780128642,-0.5777533235237824,1.8337322228058173,1.3434866335817337
81,141.61282150056377,-0.5484034047813169,1.8116543956131541,1.342008929433688
82,141.61282150056377,-0.5484034047813169,1.8116543956131541,1.342008929433688
83,136.51268694240736,-0.5346155407691893,1.7855021968906586,1.324876464700243
84,136.4208202638698,-0.5342565874233375,1.7840207129964738,1.324800957298545
85,141.2654267057156,-0.5570808597650376,1.869660246365187,1.3189506280024679
86,141.2654267057156,-0.5570808597650376,1.869660246365187,1.3189506280024679
87,141.2654267057156,-0.5570808597650376,1.869660246365187,1.3189506280024679
